province,rYLa2000,rYLn2000,La2000,Ln2000,rYLa2005,rYLn2005,drYLa_data,drYLn_data
Anhui,0.308264907,1.085545425,20.1791,13.5501,0.267142501,0.974589809,1.378931845,1.428557628
Beijing,0.633079271,1.89465938,0.7267,5.4947,0.487045054,2.084267363,1.224150867,1.750435789
Chongqing,0.297981443,1.246653897,9.2523,7.1127,0.341814997,1.109676014,1.825264447,1.416361784
Fujian,0.6420324,1.990722016,7.7815,8.8201,0.547166999,1.591954952,1.356084808,1.272459754
Gansu,0.216273481,1.060548225,7.0608,4.76,0.171219858,1.06958251,1.259722143,1.604751431
Guangdong,0.395781695,1.675765197,15.8845,22.7253,0.346952026,1.778946768,1.394882496,1.689171272
Guangxi,0.26738854,1.02206245,15.7454,9.5589,0.276427982,1.000975201,1.64498944,1.558367152
Guizhou,0.140516065,0.686690438,13.7789,6.6802,0.11831316,0.639996653,1.339772238,1.482998128
Hainan,0.671017133,1.129112338,2.0444,1.2923,0.570390109,1.023966536,1.35257787,1.443020534
Hebei,0.468708581,1.570871599,16.7815,17.6309,0.527508138,1.728495561,1.790812677,1.750860242
Heilongjiang,0.384344904,2.190671273,8.0854,8.2642,0.437007123,2.14905219,1.809219619,1.56096674
Henan,0.304900313,1.324184088,35.6904,20.0262,0.321099933,1.313430621,1.675738492,1.578274982
Hubei,0.453190429,1.645559968,12.048,13.0302,0.4438439,1.199096863,1.55838022,1.159483181
Hunan,0.269096303,1.271987682,21.0442,13.5772,0.263777666,1.086323465,1.559747114,1.358939603
Inner Mongolia,0.550764142,1.413756813,5.5368,4.6292,0.505194022,2.540036047,1.459541493,2.858834862
Jiangsu,0.548474008,2.052844809,15.0275,20.5609,0.618703441,2.010350455,1.794941838,1.558258677
Jiangxi,0.407803777,1.008441636,10.044,9.3088,0.378326647,1.072968469,1.476180921,1.693012215
Jilin,0.663201164,1.719842057,5.4165,5.3722,0.617146012,1.986828585,1.480698197,1.838212585
Liaoning,0.656960219,2.158681553,6.8334,11.2923,0.606531409,2.008961544,1.46905523,1.480835931
Ningxia,0.24292777,1.195456474,1.5859,1.1585,0.23873347,1.276735491,1.563723805,1.699382192
Qinghai,0.226686848,1.510572617,1.4526,0.933,0.229833628,1.269142209,1.613285201,1.336880475
Shandong,0.444437833,1.949496631,24.7373,21.8809,0.46769756,1.912841716,1.674472361,1.561278739
Shanghai,0.494823089,3.392816578,0.8797,5.8515,0.416597552,3.071586344,1.339647871,1.440543068
Shannxi,0.20649068,1.005400118,10.1017,8.0264,0.19055116,1.246559125,1.468368445,1.972867191
Shanxi,0.217235319,1.092659098,6.6271,7.5635,0.184094737,1.599229194,1.34844997,2.328895081
Sichuan,0.319636992,1.079671884,26.4338,17.9238,0.322300408,0.93857476,1.604455667,1.383250958
Tianjin,0.589569206,2.638658927,0.8088,3.2581,0.537707844,3.377217787,1.451227438,2.036571731
Xinjiang,0.587844472,2.397054394,3.8788,2.8461,0.561476234,2.200774507,1.519822396,1.460903596
Yunnan,0.174833953,1.542018154,16.9588,5.9957,0.15326865,1.33943884,1.39492692,1.382156759
Zhejiang,0.513008822,1.750320527,10.2102,16.7945,0.517298319,1.73322988,1.604501524,1.575659897
